Experiment,Nodes,Config,Avg_Throughput,Avg_PDR,Avg_CollisionRate,Avg_Efficiency
OptimizedScalability,10,BEB,46.4,0.0018576296641030856,0.4409638554216868,25.939277108433732
OptimizedScalability,10,RL (Standard eps=0.1),74.5,0.0029855076299444335,0.09146341463414634,67.6859756097561
OptimizedScalability,10,RL (Optimized),78.0,0.003128065311658291,0.04054501656127672,74.83748870822042
OptimizedScalability,50,BEB,22.8,0.00018238454843689755,0.7253012048192771,6.263132530120483
OptimizedScalability,50,RL (Standard eps=0.1),56.5,0.0004523898637288426,0.3192771084337349,38.46084337349398
OptimizedScalability,50,RL (Optimized),56.7,0.00045374513310523525,0.3168674698795181,38.73361445783133
OptimizedScalability,100,BEB,12.3,4.920084366926732e-05,0.8518072289156626,1.8227710843373497
OptimizedScalability,100,RL (Standard eps=0.1),37.8,0.0001511227228886804,0.5445783132530121,17.21493975903614
OptimizedScalability,100,RL (Optimized),37.1,0.00014838299699106335,0.5530120481927712,16.58325301204819
OptimizedScalability,200,BEB,5.2,1.040660588289987e-05,0.9373493975903614,0.32578313253012076
OptimizedScalability,200,RL (Standard eps=0.1),18.6,3.722384109557311e-05,0.7759036144578313,4.168192771084338
OptimizedScalability,200,RL (Optimized),18.0,3.6008105580331084e-05,0.7831325301204818,3.9036144578313277
