Experiment,Nodes,Config,Seed,Throughput,PDR,CollisionRate,Efficiency
OptimizedScalability,10,BEB,42,0.4086,0.08196589769307924,0.1916,0.33031224000000003
OptimizedScalability,10,BEB,43,0.3862,0.07721220360670158,0.1744,0.31884672
OptimizedScalability,10,BEB,44,0.4014,0.08069639338989185,0.1774,0.33019164
OptimizedScalability,10,BEB,45,0.3944,0.07905708787684414,0.1736,0.32593215999999997
OptimizedScalability,10,BEB,46,0.4008,0.07999680651470999,0.1814,0.32809488
OptimizedScalability,10,BEB,47,0.3958,0.07919167667066827,0.177,0.32574339999999996
OptimizedScalability,10,BEB,48,0.4092,0.0820730875686951,0.1766,0.33693528
OptimizedScalability,10,BEB,49,0.3972,0.07958643904784804,0.1714,0.32911992
OptimizedScalability,10,BEB,50,0.3984,0.07969275084013443,0.186,0.3242976
OptimizedScalability,10,BEB,51,0.3884,0.07798570395952133,0.1848,0.31662368
OptimizedScalability,10,RL (Standard eps=0.1),42,0.1264,0.025204386839481556,0.0072,0.12548992
OptimizedScalability,10,RL (Standard eps=0.1),43,0.1508,0.030258036036759098,0.0156,0.14844752
OptimizedScalability,10,RL (Standard eps=0.1),44,0.1262,0.02540564480412288,0.0094,0.12501372000000002
OptimizedScalability,10,RL (Standard eps=0.1),45,0.1612,0.032531482079431705,0.0132,0.15907216000000002
OptimizedScalability,10,RL (Standard eps=0.1),46,0.1146,0.022880645290101025,0.008,0.1136832
OptimizedScalability,10,RL (Standard eps=0.1),47,0.2232,0.04491307147456536,0.0216,0.21837888000000003
OptimizedScalability,10,RL (Standard eps=0.1),48,0.1386,0.027877227563457903,0.0086,0.13740803999999998
OptimizedScalability,10,RL (Standard eps=0.1),49,0.1272,0.025571951268545695,0.0058,0.12646224
OptimizedScalability,10,RL (Standard eps=0.1),50,0.202,0.040585067909668086,0.0224,0.19747520000000002
OptimizedScalability,10,RL (Standard eps=0.1),51,0.0614,0.012274599176362401,0.0016,0.061301760000000004
OptimizedScalability,10,RL (Optimized),42,0.0858,0.017120964201620306,0.0034,0.08550828
OptimizedScalability,10,RL (Optimized),43,0.0704,0.0141547370114203,0.0036,0.07014656
OptimizedScalability,10,RL (Optimized),44,0.0804,0.01623389734684812,0.0036,0.08011056
OptimizedScalability,10,RL (Optimized),45,0.0696,0.01400684242302274,0.0018,0.06947471999999999
OptimizedScalability,10,RL (Optimized),46,0.0794,0.0158407150267337,0.0036,0.07911415999999999
OptimizedScalability,10,RL (Optimized),47,0.0828,0.016689510602273642,0.0046,0.08241912
OptimizedScalability,10,RL (Optimized),48,0.0682,0.013743903913586715,0.0024,0.06803632
OptimizedScalability,10,RL (Optimized),49,0.0784,0.015671224114495882,0.0022,0.07822752
OptimizedScalability,10,RL (Optimized),50,0.0738,0.01481332798073063,0.0032,0.07356384
OptimizedScalability,10,RL (Optimized),51,0.0878,0.01759236996072774,0.0022,0.08760684
OptimizedScalability,50,BEB,42,0.37,0.014802249941991183,0.3404,0.244052
OptimizedScalability,50,BEB,43,0.3798,0.015188111843368098,0.3318,0.25378236000000004
OptimizedScalability,50,BEB,44,0.3882,0.015561862613045988,0.3266,0.26141388
OptimizedScalability,50,BEB,45,0.3772,0.01512308555849571,0.322,0.25574159999999996
OptimizedScalability,50,BEB,46,0.3746,0.015019205016558814,0.3298,0.25105692
OptimizedScalability,50,BEB,47,0.372,0.014913286455368381,0.323,0.251844
OptimizedScalability,50,BEB,48,0.3734,0.014942694327058522,0.3386,0.24696676
OptimizedScalability,50,BEB,49,0.3796,0.015193723983349344,0.3338,0.25288952
OptimizedScalability,50,BEB,50,0.3816,0.015255212997313547,0.3504,0.24788735999999997
OptimizedScalability,50,BEB,51,0.3774,0.015132924335378323,0.3334,0.25157484
OptimizedScalability,50,RL (Standard eps=0.1),42,0.3264,0.013094760491053518,0.097,0.29473920000000003
OptimizedScalability,50,RL (Standard eps=0.1),43,0.3392,0.013552171064197018,0.106,0.3032448
OptimizedScalability,50,RL (Standard eps=0.1),44,0.316,0.012632723551234489,0.0956,0.2857904
OptimizedScalability,50,RL (Standard eps=0.1),45,0.312,0.012480399372779928,0.1066,0.2787408
OptimizedScalability,50,RL (Standard eps=0.1),46,0.3332,0.013339311736352426,0.1062,0.29781416
OptimizedScalability,50,RL (Standard eps=0.1),47,0.3336,0.01335372150925874,0.1194,0.29376816
OptimizedScalability,50,RL (Standard eps=0.1),48,0.3154,0.012584789721490703,0.1014,0.28341844
OptimizedScalability,50,RL (Standard eps=0.1),49,0.3104,0.012409844717020358,0.11,0.276256
