Experiment,Config,Seed,Throughput,CollisionRate,Efficiency
RewardComparison,BEB,42,0.379,0.352,0.245592
RewardComparison,BEB,43,0.37,0.3445,0.24253499999999997
RewardComparison,BEB,44,0.3705,0.354,0.239343
RewardComparison,BEB,45,0.365,0.355,0.235425
RewardComparison,BEB,46,0.371,0.353,0.240037
RewardComparison,BEB,47,0.385,0.354,0.24871000000000001
RewardComparison,BEB,48,0.3795,0.3625,0.24193125
RewardComparison,BEB,49,0.374,0.3735,0.23431100000000002
RewardComparison,BEB,50,0.3965,0.352,0.256932
RewardComparison,BEB,51,0.362,0.3485,0.23584299999999997
RewardComparison,RL (Std),42,0.2935,0.0845,0.26869925
RewardComparison,RL (Std),43,0.309,0.097,0.279027
RewardComparison,RL (Std),44,0.2815,0.0785,0.25940224999999995
RewardComparison,RL (Std),45,0.33,0.102,0.29634000000000005
RewardComparison,RL (Std),46,0.313,0.097,0.28263900000000003
RewardComparison,RL (Std),47,0.2915,0.091,0.2649735
RewardComparison,RL (Std),48,0.308,0.096,0.278432
RewardComparison,RL (Std),49,0.313,0.1085,0.2790395
RewardComparison,RL (Std),50,0.2875,0.073,0.2665125
RewardComparison,RL (Std),51,0.306,0.088,0.279072
RewardComparison,RL (Aggressive),42,0.2655,0.0775,0.24492375
RewardComparison,RL (Aggressive),43,0.285,0.077,0.263055
RewardComparison,RL (Aggressive),44,0.2705,0.065,0.2529175
RewardComparison,RL (Aggressive),45,0.311,0.084,0.284876
RewardComparison,RL (Aggressive),46,0.2975,0.0795,0.27384875
RewardComparison,RL (Aggressive),47,0.249,0.056,0.235056
RewardComparison,RL (Aggressive),48,0.27,0.076,0.24948000000000004
RewardComparison,RL (Aggressive),49,0.288,0.071,0.267552
RewardComparison,RL (Aggressive),50,0.263,0.0725,0.2439325
RewardComparison,RL (Aggressive),51,0.285,0.072,0.26448
RewardComparison,RL (Throughput),42,0.3625,0.1345,0.31374375
RewardComparison,RL (Throughput),43,0.353,0.135,0.305345
